question,option,confidence,is_marked,final_answer,multiple_marks
1,A,0.8159595395815351,True,D,True
1,B,0.7566833203003864,True,D,True
1,C,0.7558785554083065,True,D,True
1,D,0.8746217138070733,True,D,True
2,A,0.722167770526524,True,D,True
2,B,0.7578579351239809,True,D,True
2,C,0.7061506922867594,True,D,True
2,D,0.7900697160198381,True,D,True
3,A,0.7541045046084579,True,D,True
3,B,0.7900756652428804,True,D,True
3,C,0.7455142081023644,True,D,True
3,D,0.8043865377762952,True,D,True
4,A,0.695012933107807,True,C,True
4,B,0.6827554898557713,True,C,True
4,C,0.7310768244044795,True,C,True
4,D,0.5523344071567626,True,C,True
5,A,0.8943871272449461,True,A,True
5,B,0.7751465989321926,True,A,True
5,C,0.7004078002688214,True,A,True
5,D,0.6986842080838472,True,A,True
6,A,0.7303412502392512,True,B,True
6,B,0.864228234461297,True,B,True
6,C,0.6808873039844751,True,B,True
6,D,0.7754035286466295,True,B,True
7,A,0.5993248780885805,True,C,True
7,B,0.740884098087958,True,C,True
7,C,0.8910335736600776,True,C,True
7,D,0.803487957608411,True,C,True
8,A,0.7001845879513928,True,D,True
8,B,0.7745596918701595,True,D,True
8,C,0.7471524922746386,True,D,True
8,D,0.8434959327139462,True,D,True
9,A,0.776264439884706,True,D,True
9,B,0.6374177567116558,True,D,True
9,C,0.7509450387105138,True,D,True
9,D,0.8236193846841006,True,D,True
10,A,0.8210126022945754,True,A,True
10,B,0.6044963534851083,True,A,True
10,C,0.5451526685473185,True,A,True
10,D,0.712031912669987,True,A,True
11,A,0.8343727269416672,True,A,True
11,B,0.6988141219554492,True,A,True
11,C,0.7447042858593398,True,A,True
11,D,0.6125817025017348,True,A,True
12,A,0.657539717111663,True,D,True
12,B,0.6160033435618305,True,D,True
12,C,0.6391114795699705,True,D,True
12,D,0.8399620972181999,True,D,True
13,A,0.5451942325281076,True,B,True
13,B,0.8442020941725336,True,B,True
13,C,0.669688618658848,True,B,True
13,D,0.7208422792474327,True,B,True
14,A,0.7020416473542375,True,C,True
14,B,0.5986452209345314,True,C,True
14,C,0.7599056322700687,True,C,True
14,D,0.6403676868759581,True,C,True
15,A,0.5638877248305372,True,C,True
15,B,0.7554116117450546,True,C,True
